"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"Casa de mi Padre","Matt Piedmont","United States, Mexico",2012,"Comedies","Will Ferrell stars as a Spanish-speaking cowboy in this comedy about a Mexican clan trying to rescue their ranch from greedy creditors.","Casa de mi Padre","Comedy",52,"3 stars"
"Insidious","James Wan","United States, Canada, United Kingdom",2010,"Horror Movies, Thrillers","Hoping to leave their haunted house behind, a suburban family moves to a new place, only to learn the home wasn't haunted... but their eldest son is.","Insidious","Fantasy,Horror,Comedy",52,"3 stars"
"Tomorrow Never Dies","Roger Spottiswoode","United Kingdom, United States",1997,"Action & Adventure","Pierce Brosnan stars in this 007 installment, which teams the secret agent and a sexy Chinese superspy against a megalomaniacal media mogul.","Tomorrow Never Dies","Action,Adventure,Thriller",52,"3 stars"
"Middle School: The Worst Years of My Life","Steve Carr","United States, Cambodia",2016,"Children & Family Movies, Comedies","At Hills Village Middle School, budding cartoonist Rafe and best pal Leo challenge their uptight principal by breaking every rule in his handbook.","Middle School: The Worst Years of My Life","Drama,Fantasy,Comedy,Animation,Family",51,"3 stars"
"Hotel for Dogs","Thor Freudenthal","Germany, United States",2009,"Children & Family Movies, Comedies","Placed in a foster home that doesn't allow pets, 16-year-old Andi and her younger brother Bruce turn an abandoned hotel into a home for their dog.","Hotel for Dogs","Comedy,Family",51,"3 stars"
"Tony Robbins: I Am Not Your Guru","Joe Berlinger","United States",2016,"Documentaries","Tony Robbins' clients swear by his unorthodox life coaching methods. A revealing film goes behind the curtain at his annual mega-event.","Tony Robbins: I Am Not Your Guru","Documentary",51,"3 stars"
"Death at a Funeral","Neil LaBute","United States",2010,"Comedies","When a Los Angeles family's patriarch dies, his dutiful eldest son plans the funeral – which becomes a fiasco thanks to a colorful cast of attendees.","Death at a Funeral","Comedy",51,"3 stars"
"What Lies Beneath","Robert Zemeckis","United States",2000,"Horror Movies, Thrillers","When Claire Spencer starts hearing ghostly voices and seeing spooky images, her husband tries to reassure her by telling her it's all in her head.","What Lies Beneath","Drama,Mystery,Thriller,Horror",51,"3 stars"
"Bird Box","Susanne Bier","United States",2018,"Dramas, Sci-Fi & Fantasy, Thrillers","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.","Bird Box","Sci-Fi,Drama,Thriller,Horror",51,"3 stars"
"The Brothers Grimm","Terry Gilliam","United States, Czech Republic, United Kingdom",2005,"Action & Adventure, Sci-Fi & Fantasy","Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they're expert con artists.","The Brothers Grimm","Adventure,Thriller,Fantasy,Comedy",51,"3 stars"
"John Carter","Andrew Stanton","United States",2012,"Action & Adventure, Sci-Fi & Fantasy","One minute, Civil War veteran John Carter is evading Apaches; the next, he's waking up on Mars, a once-fruitful planet that's devolved into chaos.","John Carter","Action,Adventure,Sci-Fi,Fantasy",51,"3 stars"
"Peter Rabbit","Will Gluck","United States, Australia",2018,"Children & Family Movies, Comedies","In this mix of live action and CGI, rascally Peter Rabbit faces a tough new foe in his ongoing battle for the veggies in Mr. McGregor's garden.","Peter Rabbit","Adventure,Fantasy,Comedy,Animation,Family",51,"3 stars"
"Hardcore Henry","Ilya Naishuller","Russia, United States, China",2015,"Action & Adventure, International Movies, Sci-Fi & Fantasy","Shot entirely like a first-person shooter video game, this film tracks Henry, a cyborg racing to save his wife from a villain with paranormal powers.","Hardcore Henry","Action,Adventure,Sci-Fi,Thriller",51,"3 stars"
"The Call","Lee Chung-hyun","South Korea",2020,"International Movies, Thrillers","Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.","The Call","Thriller",51,"3 stars"
"Step Brothers","Adam McKay","United States",2008,"Comedies","Brennan and Dale might be grown men, but that doesn't stop a childish sibling rivalry from erupting after Brennan's mom marries Dale's dad.","Step Brothers","Comedy",51,"3 stars"
"Bullet Head","Paul Solet, Rick Benattar","Bulgaria, United States",2017,"International Movies, Thrillers","After a daring heist, three fugitives lock themselves in a warehouse hoping to evade the police, but find a worse threat as they fight to stay alive.","Bullet Head","Drama,Thriller,Crime",51,"3 stars"
"Austin Powers: International Man of Mystery","Jay Roach","United States",1997,"Comedies","A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil.","Austin Powers: International Man of Mystery","Action,Adventure,Comedy,Crime",51,"3 stars"
"Close",NULL,"United Kingdom, United States",2019,"Action & Adventure, International Movies","When attackers target the heiress she's protecting, battle-hardened bodyguard Sam scrambles to save her client – and teach her how to fight back.","Close","Action,Thriller",51,"3 stars"
"My Sister's Keeper","Nick Cassavetes","United States",2009,"Dramas","A former defense attorney finds herself back in court when she and her husband are sued for medical emancipation by their 11-year-old daughter.","My Sister's Keeper","Drama",51,"3 stars"
"A Little Chaos","Alan Rickman","United Kingdom",2014,"Dramas, Independent Movies, International Movies","A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications.","A Little Chaos","Drama,Comedy,Romance",51,"3 stars"
"Jay and Silent Bob Strike Back","Kevin Smith","United States",2001,"Comedies, Cult Movies","Jay and Silent Bob's comic book alter egos have been sold to Hollywood without permission, so they head to Tinseltown to sabotage the production.","Jay and Silent Bob Strike Back","Adventure,Comedy",51,"3 stars"
"Mowgli: Legend of the Jungle","Andy Serkis","United Kingdom, United States",2018,"Action & Adventure, Children & Family Movies, Dramas","An orphaned boy raised by animals in the jungle seizes his destiny while confronting a dangerous enemy – and his own human origins.","Mowgli: Legend of the Jungle","Adventure,Drama,Fantasy,Family",51,"3 stars"
"Newness","Drake Doremus","United States",2017,"Dramas, Independent Movies, Romantic Movies","Martin and Gabi try to form a relationship after meeting through a hookup app, but when boredom creeps in, they seek out an unconventional solution.","Newness","Drama,Romance",50,"2 stars"
"A Kind of Murder","Andy Goddard","United States",2016,"Thrillers","Obsessed with an unsolved murder case, a crime novelist stuck in an unhappy marriage fantasizes about killing his wife, who soon turns up dead.","A Kind of Murder","Drama,Thriller",50,"2 stars"
"Trespass Against Us","Adam Smith","United Kingdom",2016,"Dramas","A man from a criminal family yearns to break away and find a better life, but his father's staunch opposition puts his dreams of freedom in jeopardy.","Trespass Against Us","Action,Drama,Thriller,Crime",50,"2 stars"
"War on Everyone","John Michael McDonagh","United Kingdom",2016,"Action & Adventure, Comedies","Terry and Bob excel at blackmailing small-time crooks. But when the two cops target a big score, they learn not all criminals are easily intimidated.","War on Everyone","Action,Comedy",50,"2 stars"
"Kung Fu Yoga","Stanley Tong","China, India, Nepal",2017,"Action & Adventure, Comedies, International Movies","Two mismatched archaeologists battle a team of vicious mercenaries in a race to discover an ancient Tibetan treasure of unimaginable worth.","Kung Fu Yoga","Action,Adventure,Mystery,Comedy",50,"2 stars"
"Trash","Stephen Daldry","United Kingdom, Brazil, Germany",2014,"Dramas, Independent Movies, Thrillers","Three poor Brazilian teens find something suspicious in a garbage heap, then end up on the run from the law as they try to set things right.","Trash","Adventure,Drama,Mystery,Thriller,Comedy,Crime",50,"2 stars"
"The Saint","Ernie Barbarash","United States",2017,"Action & Adventure","Master thief Simon Templar – also known as the Saint – is hired by a wealthy banker to find his kidnapped daughter, but not all is as it seems.","The Saint","Action,Sci-Fi,Thriller,Romance",50,"2 stars"
"Last Night","Massy Tadjedin","United States, France",2010,"Dramas, Independent Movies, Romantic Movies","During an evening apart, married couple Joanna and Michael encounter tempting opportunities to cheat on each other with sexy acquaintances.","Last Night","Drama,Romance",50,"2 stars"
"The Island","Toka McBaror","Nigeria",2018,"Dramas, International Movies, Thrillers","When a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.","The Island","Action,Sci-Fi,Thriller",50,"2 stars"
"Poseidon","Wolfgang Petersen","United States",2006,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.","Poseidon","Action,Adventure,Thriller",50,"2 stars"
"Eat Pray Love","Ryan Murphy","United States",2010,"Dramas, Romantic Movies","After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.","Eat Pray Love","Drama,Romance",50,"2 stars"
"Life After Beth","Jeff Baena","United States",2014,"Comedies, Horror Movies, Independent Movies","Following the death of his beloved girlfriend, Beth, Zach is first shattered and then overjoyed when she inexplicably comes back to life.","Life After Beth","Drama,Fantasy,Horror,Comedy,Romance",50,"2 stars"
"Kill the Irishman","Jonathan Hensleigh","United States",2011,"Action & Adventure, Dramas, Independent Movies","This true crime tale charts the rise and fall of mobster Danny Greene, who faced down the Mafia to gain control of organized crime in 1970s Cleveland.","Kill the Irishman","Action,Crime",50,"2 stars"
"All Dogs Go to Heaven","Don Bluth, Gary Goldman, Dan Kuenster","Ireland, United Kingdom, United States",1989,"Children & Family Movies","When a canine con artist becomes an angel, he sneaks back to Earth and crosses paths with an orphan girl who can speak to animals.","All Dogs Go to Heaven","Action,Adventure,Drama,Fantasy,Comedy,Animation,Family,Musical",50,"2 stars"
"The Water Diviner","Russell Crowe","Australia, United States",2014,"Dramas, International Movies","Years after the presumed death of his three sons in battle, a grieving farmer journeys to Turkey to find them and return them to their homeland.","The Water Diviner","Drama,War",50,"2 stars"
"No Reservations","Scott Hicks","United States",2007,"Comedies, Romantic Movies","Kate, an uptight chef, finds her life turned upside down when her sister dies in a car accident and she becomes her niece's sole guardian.","No Reservations","Drama,Comedy,Romance",50,"2 stars"
